image_path,pano_id,stview_lat,stview_lng,tree_lat,tree_lng,image_x,image_y,theta,conf,distance_pano
/home/utkarsh/TreeInventorization/data/views/hlkMNdzwvxFIRVw-FpqAPw_view11_tree0_box3.jpg,hlkMNdzwvxFIRVw-FpqAPw,30.71158385401806,76.80039288294195,30.711570026909474,76.80034797361617,10554.0,4274.0,150,0.1546761691570282,5.177087112147269
/home/utkarsh/TreeInventorization/data/views/aJ3d9gnlmlhi8-FXeSKYCw_view3_tree0_box0.jpg,aJ3d9gnlmlhi8-FXeSKYCw,30.71146318943756,76.80041480044757,30.711357088960327,76.80036679331886,2134.0,3590.0,-90,0.18413284420967102,12.740365845261396
/home/utkarsh/TreeInventorization/data/views/aJ3d9gnlmlhi8-FXeSKYCw_view9_tree0_box0.jpg,aJ3d9gnlmlhi8-FXeSKYCw,30.71146318943756,76.80041480044757,30.711480671546678,76.80053371033706,10954.0,3779.0,90,0.1099209412932396,11.73101331265578
/home/utkarsh/TreeInventorization/data/views/aJ3d9gnlmlhi8-FXeSKYCw_view10_tree0_box0.jpg,aJ3d9gnlmlhi8-FXeSKYCw,30.71146318943756,76.80041480044757,30.711434226051068,76.80046821816187,12517.0,4144.0,120,0.5567728877067566,6.4220242784383075
/home/utkarsh/TreeInventorization/data/views/H7p-OlZgxuYu9xDtAWrmwg_view5_tree0_box0.jpg,H7p-OlZgxuYu9xDtAWrmwg,30.7115178371962,76.80045863544721,30.711491211251598,76.80055422324224,5293.0,3672.0,-30,0.35582199692726135,9.66539472914182
/home/utkarsh/TreeInventorization/data/views/H7p-OlZgxuYu9xDtAWrmwg_view11_tree0_box0.jpg,H7p-OlZgxuYu9xDtAWrmwg,30.7115178371962,76.80045863544721,30.71151145868139,76.80041245194612,10956.0,4279.0,150,0.23571638762950897,5.159353413507892
/home/utkarsh/TreeInventorization/data/views/ovK5CZxZjrSdm2vF9UuDRw_view10_tree0_box0.jpg,ovK5CZxZjrSdm2vF9UuDRw,30.71159893638873,76.80027167642567,30.711571686270204,76.80032454878024,12562.0,4137.0,120,0.26218223571777344,6.292259504081151
/home/utkarsh/TreeInventorization/data/views/8TudEPSz5Ek-7te1r9_seA_view0_tree0_box0.jpg,8TudEPSz5Ek-7te1r9_seA,30.71208136840206,76.79990664780998,30.712103776483744,76.79988119638816,12973.0,4428.0,-180,0.1322258859872818,4.067159097213961
/home/utkarsh/TreeInventorization/data/views/8TudEPSz5Ek-7te1r9_seA_view11_tree0_box2.jpg,8TudEPSz5Ek-7te1r9_seA,30.71208136840206,76.79990664780998,30.712313010859784,76.79974152355238,162.0,3466.0,150,0.1085393875837326,30.267455804525877
/home/utkarsh/TreeInventorization/data/views/ggHpfgFMc7cUq8hyCTp28g_view0_tree0_box0.jpg,ggHpfgFMc7cUq8hyCTp28g,30.71201803031837,76.7998327969424,30.712003738454474,76.79988700920104,12009.0,4153.0,-180,0.24631169438362122,5.832889661305148
/home/utkarsh/TreeInventorization/data/views/ggHpfgFMc7cUq8hyCTp28g_view1_tree0_box0.jpg,ggHpfgFMc7cUq8hyCTp28g,30.71201803031837,76.7998327969424,30.71194046684114,76.79995028696672,12762.0,3663.0,-150,0.13347354531288147,14.31662341007849
/home/utkarsh/TreeInventorization/data/views/ggHpfgFMc7cUq8hyCTp28g_view2_tree0_box0.jpg,ggHpfgFMc7cUq8hyCTp28g,30.71201803031837,76.7998327969424,30.711980077983405,76.79979549061181,2892.0,4012.0,-120,0.21394485235214233,5.845653127825485
/home/utkarsh/TreeInventorization/data/views/ggHpfgFMc7cUq8hyCTp28g_view5_tree0_box0.jpg,ggHpfgFMc7cUq8hyCTp28g,30.71201803031837,76.7998327969424,30.712049792676428,76.79966959712178,5188.0,3557.0,-30,0.13269586861133575,16.149335526359465
/home/utkarsh/TreeInventorization/data/views/ggHpfgFMc7cUq8hyCTp28g_view8_tree0_box0.jpg,ggHpfgFMc7cUq8hyCTp28g,30.71201803031837,76.7998327969424,30.712203908862865,76.79989112550912,8605.0,3583.0,60,0.1551954597234726,21.492687632245268
/home/utkarsh/TreeInventorization/data/views/rqVJT3Av_-OniWgOa17WwA_view5_tree0_box0.jpg,rqVJT3Av_-OniWgOa17WwA,30.71179535946571,76.80002935106174,30.71177762300073,76.7999707629022,3954.0,3951.0,-30,0.7575047016143799,6.257380577284076
/home/utkarsh/TreeInventorization/data/views/kNKaz_5TcT3HJ1BgWmAbpQ_view0_tree0_box1.jpg,kNKaz_5TcT3HJ1BgWmAbpQ,30.71201383347141,76.79997521728909,30.712063977556294,76.79992191258349,13030.0,3875.0,-180,0.19752086699008942,7.843884271127794
/home/utkarsh/TreeInventorization/data/views/kNKaz_5TcT3HJ1BgWmAbpQ_view0_tree0_box2.jpg,kNKaz_5TcT3HJ1BgWmAbpQ,30.71201383347141,76.79997521728909,30.7120343197802,76.79995362490045,13018.0,4544.0,-180,0.13068760931491852,3.6995274792988218
/home/utkarsh/TreeInventorization/data/views/kNKaz_5TcT3HJ1BgWmAbpQ_view0_tree0_box3.jpg,kNKaz_5TcT3HJ1BgWmAbpQ,30.71201383347141,76.79997521728909,30.712156187360865,76.79988438228808,232.0,3571.0,-180,0.12400829792022705,18.164604525870573
